SIHcode,City name,IBGE code,,,,
110001,ALTA FLORESTA D'OESTE,1100015,,,,
110002,ARIQUEMES,1100023,,,,
110003,CABIXI,1100031,,,,
110004,CACOAL,1100049,,,,
110005,CEREJEIRAS,1100056,,,,
110006,COLORADO DO OESTE,1100064,,,,
110007,CORUMBIARA,1100072,,,,
110008,COSTA MARQUES,1100080,,,,
110009,ESPIGAO D'OESTE,1100098,,,,
110010,GUAJARA-MIRIM,1100106,,,,
110011,JARU,1100114,,,,
110012,JI-PARANA,1100122,,,,
110013,MACHADINHO D'OESTE,1100130,,,,
110014,NOVA BRASILANDIA D'OESTE,1100148,,,,
110015,OURO PRETO DO OESTE,1100155,,,,
110018,PIMENTA BUENO,1100189,,,,
110020,PORTO VELHO,1100205,,,,
110025,PRESIDENTE MEDICI,2109239,,,,
110026,RIO CRESPO,1100262,,,,
110028,ROLIM DE MOURA,1100288,,,,
110029,SANTA LUZIA D'OESTE,1100296,,,,
110030,VILHENA,1100304,,,,
110032,SAO MIGUEL DO GUAPORE,1100320,,,,
110033,NOVA MAMORE,1100338,,,,
110034,ALVORADA D'OESTE,1100346,,,,
110037,ALTO ALEGRE DOS PARECIS,1100379,,,,
110040,ALTO PARAISO,4128625,,,,
110045,BURITIS,3109303,,,,
110050,NOVO HORIZONTE DO OESTE,1100502,,,,
110060,CACAULANDIA,1100601,,,,
110070,CAMPO NOVO DE RONDONIA,1100700,,,,
110080,CANDEIAS DO JAMARI,1100809,,,,
110090,CASTANHEIRAS,1100908,,,,
110092,CHUPINGUAIA,1100924,,,,
110094,CUJUBIM,1100940,,,,
110100,GOVERNADOR JORGE TEIXEIRA,1101005,,,,
110110,ITAPUA DO OESTE,1101104,,,,
110120,MINISTRO ANDREAZZA,1101203,,,,
110130,MIRANTE DA SERRA,1101302,,,,
110140,MONTE NEGRO,1101401,,,,
110143,NOVA UNIAO,3136603,,,,
110145,PARECIS,1101450,,,,
110146,PIMENTEIRAS DO OESTE,1101468,,,,
110147,PRIMAVERA DE RONDONIA,1101476,,,,
110148,SAO FELIPE D'OESTE,1101484,,,,
110149,SAO FRANCISCO DO GUAPORE,1101492,,,,
110150,SERINGUEIRAS,1101500,,,,
110155,TEIXEIROPOLIS,1101559,,,,
110160,THEOBROMA,1101609,,,,
110170,URUPA,1101708,,,,
110175,VALE DO ANARI,1101757,,,,
110180,VALE DO PARAISO,1101807,,,,
120001,ACRELANDIA,1200013,,,,
120005,ASSIS BRASIL,1200054,,,,
120010,BRASILEIA,1200104,,,,
120013,BUJARI,1200138,,,,
120017,CAPIXABA,1200179,,,,
120020,CRUZEIRO DO SUL,1200203,,,,
120025,EPITACIOLANDIA,1200252,,,,
120030,FEIJO,1200302,,,,
120032,JORDAO,1200328,,,,
120033,MANCIO LIMA,1200336,,,,
120034,MANOEL URBANO,1200344,,,,
120035,MARECHAL THAUMATURGO,1200351,,,,
120038,PLACIDO DE CASTRO,1200385,,,,
120039,PORTO WALTER,1200393,,,,
120040,RIO BRANCO,1200401,,,,
120042,RODRIGUES ALVES,1200427,,,,
120043,SANTA ROSA DO PURUS,1200435,,,,
120045,SENADOR GUIOMARD,1200450,,,,
120050,SENA MADUREIRA,1200500,,,,
120060,TARAUACA,1200609,,,,
120070,XAPURI,1200708,,,,
120080,PORTO ACRE,1200807,,,,
130002,ALVARAES,1300029,,,,
130006,AMATURA,1300060,,,,
130008,ANAMA,1300086,,,,
130010,ANORI,1300102,,,,
130014,APUI,1300144,,,,
130020,ATALAIA DO NORTE,1300201,,,,
130030,AUTAZES,1300300,,,,
130040,BARCELOS,1300409,,,,
130050,BARREIRINHA,1300508,,,,
130060,BENJAMIN CONSTANT,1300607,,,,
130063,BERURI,1300631,,,,
130068,BOA VISTA DO RAMOS,1300680,,,,
130070,BOCA DO ACRE,1300706,,,,
130080,BORBA,1300805,,,,
130083,CAAPIRANGA,1300839,,,,
130090,CANUTAMA,1300904,,,,
130100,CARAUARI,1301001,,,,
130110,CAREIRO,1301100,,,,
130115,CAREIRO DA VARZEA,1301159,,,,
130120,COARI,1301209,,,,
130130,CODAJAS,1301308,,,,
130140,EIRUNEPE,1301407,,,,
130150,ENVIRA,1301506,,,,
130160,FONTE BOA,1301605,,,,
130165,GUAJARA,1301654,,,,
130170,HUMAITA,1301704,,,,
130180,IPIXUNA,1301803,,,,
130185,IRANDUBA,1301852,,,,
130190,ITACOATIARA,1301902,,,,
130195,ITAMARATI,1301951,,,,
130200,ITAPIRANGA,1302009,,,,
130210,JAPURA,1302108,,,,
